date	datetime	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Air_Temperature_celsius	Dewpoint_Air_Temperature_Celsius	Ten_Meter_Elevation_Wind_Speed_meterPerSecond
1999-06-11	1623	373.58308630224	23.798341370416665	19.729120873333333	3.9402691338749998
1999-06-12	1624	331.95657458304004	23.101674651666666	18.983065710333335	1.7412646336666666
1999-06-13	1625	288.03182424696	20.845418548333335	17.240947938583332	2.7251306478333333
1999-06-14	1626	561.9476173147201	16.8879155475	12.121685009166667	5.3571536525
1999-06-15	1627	487.02039560208004	12.517504628291666	6.672801693625	3.042561930291667
1999-06-16	1628	340.00192638504	14.228752391666667	8.1507069905	2.05330856475
1999-06-17	1629	525.3971717786401	12.624173735458333	7.3151416051250004	3.05145913775
1999-06-18	1630	547.8045784668001	15.383336639791667	8.425483292625001	2.4846339033333336
1999-06-19	1631	427.7262194748	17.02000071125	11.381627952333334	3.1344719305
1999-06-20	1632	443.29672898280006	18.45375595125	12.711204831083334	2.9839380404583333
1999-06-21	1633	425.03104935288	20.2416753125	15.392235841083334	3.644055954958333
1999-06-22	1634	307.4442458184	22.720423635	18.74662318591667	4.273273179958333
1999-06-23	1635	309.96777256344	22.800003305	19.186485307083334	5.472578373458333
1999-06-24	1636	544.87483758216	22.56667099	18.244686927666667	2.30406406125
1999-06-25	1637	555.11135814312	23.990841165833334	17.215172840166666	1.555393037375
1999-06-26	1638	495.12693466152007	23.0816691075	17.68744433941667	3.7759219766666665
1999-06-27	1639	463.08729722112	23.712923939583334	19.0733467005	2.160382057125
1999-06-28	1640	379.54843506576003	24.320424652083332	19.95939988625	1.8475343567916667
1999-06-29	1641	525.771862704	16.0620895375	12.327401915916667	4.428857581958333
1999-06-30	1642	355.49956301040004	16.212916310833332	12.199985431333333	3.284177392416667
1999-07-01	1643	425.72102138496	19.598339335	16.06752985575	3.5117653433333333
1999-07-02	1644	499.9956605496001	22.051674143333333	17.838577516833332	3.1810981473333335
1999-07-03	1645	400.98520362744	25.921254730833333	22.846370192083334	5.31401409075
1999-07-04	1646	548.96291949672	27.668753559583333	24.392891215916666	6.647538065
1999-07-05	1647	505.52964404208006	27.039175924583333	23.6509521	5.937454364541667
1999-07-06	1648	566.11792693584	25.248755391666666	20.247217199333335	5.464134123958333
1999-07-07	1649	531.5915527905601	20.394166565833334	14.6011407005	3.751465265375
1999-07-08	1650	331.15658367384003	21.47209320083333	16.275245015833335	3.200868271916667
1999-07-09	1651	543.2564823825601	23.82542317625	19.17653850483333	5.878481896083334
1999-07-10	1652	559.16208023544	18.1379193625	13.493716161833333	4.052606632083333
