datetime,Depth_meter,Water_Temperature_celsius
2016-07-15T18:00:00Z,0.5,NA
2016-07-15T18:00:00Z,2.0,7.38
2016-07-15T18:00:00Z,4.0,7.38
2016-07-15T18:00:00Z,6.0,7.25
2016-07-15T18:00:00Z,7.0,7.5
2016-07-15T18:30:00Z,0.5,NA
2016-07-15T18:30:00Z,2.0,7.38
2016-07-15T18:30:00Z,4.0,7.38
2016-07-15T18:30:00Z,6.0,7.25
2016-07-15T18:30:00Z,7.0,7.62
2016-07-15T19:00:00Z,0.5,8
2016-07-15T19:00:00Z,2.0,7.38
2016-07-15T19:00:00Z,4.0,7.38
2016-07-15T19:00:00Z,6.0,7.25
2016-07-15T19:00:00Z,7.0,7.74
2016-07-15T19:30:00Z,0.5,8
2016-07-15T19:30:00Z,2.0,7.38
2016-07-15T19:30:00Z,4.0,7.38
2016-07-15T19:30:00Z,6.0,7.25
2016-07-15T19:30:00Z,7.0,7.34
2016-07-15T20:00:00Z,0.5,8.06
2016-07-15T20:00:00Z,2.0,7.5
2016-07-15T20:00:00Z,4.0,7.63
2016-07-15T20:00:00Z,6.0,7.25
2016-07-15T20:00:00Z,7.0,7.24
2016-07-15T20:30:00Z,0.5,8.1
2016-07-15T20:30:00Z,2.0,7.5
2016-07-15T20:30:00Z,4.0,7.63
2016-07-15T20:30:00Z,6.0,7.25
2016-07-15T20:30:00Z,7.0,7.26
2016-07-15T21:00:00Z,0.5,8.28
2016-07-15T21:00:00Z,2.0,7.5
2016-07-15T21:00:00Z,4.0,7.63
2016-07-15T21:00:00Z,6.0,7.25
2016-07-15T21:00:00Z,7.0,7.28
2016-07-15T21:30:00Z,0.5,8.24
2016-07-15T21:30:00Z,2.0,7.5
2016-07-15T21:30:00Z,4.0,7.63
2016-07-15T21:30:00Z,6.0,7.25
2016-07-15T21:30:00Z,7.0,7.22
2016-07-15T22:00:00Z,0.5,8.12
2016-07-15T22:00:00Z,2.0,7.5
2016-07-15T22:00:00Z,4.0,7.75
2016-07-15T22:00:00Z,6.0,7.5
2016-07-15T22:00:00Z,7.0,7.52
2016-07-15T22:30:00Z,0.5,8.18
2016-07-15T22:30:00Z,2.0,7.5
2016-07-15T22:30:00Z,4.0,7.75
2016-07-15T22:30:00Z,6.0,7.5
2016-07-15T22:30:00Z,7.0,7.56
2016-07-15T23:00:00Z,0.5,8.1
2016-07-15T23:00:00Z,2.0,7.5
2016-07-15T23:00:00Z,4.0,7.75
2016-07-15T23:00:00Z,6.0,7.5
2016-07-15T23:00:00Z,7.0,7.72
2016-07-15T23:30:00Z,0.5,8.06
2016-07-15T23:30:00Z,2.0,7.5
2016-07-15T23:30:00Z,4.0,7.75
2016-07-15T23:30:00Z,6.0,7.5
2016-07-15T23:30:00Z,7.0,7.46
2016-07-16T00:00:00Z,0.5,8.1
2016-07-16T00:00:00Z,2.0,7.5
2016-07-16T00:00:00Z,4.0,7.75
2016-07-16T00:00:00Z,6.0,7.25
2016-07-16T00:00:00Z,7.0,7.4
2016-07-16T00:30:00Z,0.5,8.22
2016-07-16T00:30:00Z,2.0,7.5
2016-07-16T00:30:00Z,4.0,7.75
2016-07-16T00:30:00Z,6.0,7.25
2016-07-16T00:30:00Z,7.0,7.38
2016-07-16T01:00:00Z,0.5,8.12
2016-07-16T01:00:00Z,2.0,7.5
2016-07-16T01:00:00Z,4.0,7.75
2016-07-16T01:00:00Z,6.0,7.25
2016-07-16T01:00:00Z,7.0,7.36
2016-07-16T01:30:00Z,0.5,8
2016-07-16T01:30:00Z,2.0,7.5
2016-07-16T01:30:00Z,4.0,7.75
2016-07-16T01:30:00Z,6.0,7.25
2016-07-16T01:30:00Z,7.0,7.54
2016-07-16T02:00:00Z,0.5,7.98
2016-07-16T02:00:00Z,2.0,7.38
2016-07-16T02:00:00Z,4.0,7.63
2016-07-16T02:00:00Z,6.0,7
2016-07-16T02:00:00Z,7.0,7.86
2016-07-16T02:30:00Z,0.5,8
2016-07-16T02:30:00Z,2.0,7.38
2016-07-16T02:30:00Z,4.0,7.63
2016-07-16T02:30:00Z,6.0,7
2016-07-16T02:30:00Z,7.0,7.4
2016-07-16T03:00:00Z,0.5,8.18
2016-07-16T03:00:00Z,2.0,7.38
2016-07-16T03:00:00Z,4.0,7.63
2016-07-16T03:00:00Z,6.0,7
2016-07-16T03:00:00Z,7.0,7.26
2016-07-16T03:30:00Z,0.5,8.22
2016-07-16T03:30:00Z,2.0,7.38
2016-07-16T03:30:00Z,4.0,7.63
2016-07-16T03:30:00Z,6.0,7
2016-07-16T03:30:00Z,7.0,7.2
2016-07-16T04:00:00Z,0.5,8.12
2016-07-16T04:00:00Z,2.0,7.38
2016-07-16T04:00:00Z,4.0,7.63
2016-07-16T04:00:00Z,6.0,7.13
2016-07-16T04:00:00Z,7.0,7.32
2016-07-16T04:30:00Z,0.5,8.04
2016-07-16T04:30:00Z,2.0,7.38
2016-07-16T04:30:00Z,4.0,7.63
2016-07-16T04:30:00Z,6.0,7.13
2016-07-16T04:30:00Z,7.0,7.32
2016-07-16T05:00:00Z,0.5,7.98
2016-07-16T05:00:00Z,2.0,7.38
2016-07-16T05:00:00Z,4.0,7.63
2016-07-16T05:00:00Z,6.0,7.13
2016-07-16T05:00:00Z,7.0,7.28
2016-07-16T05:30:00Z,0.5,7.94
2016-07-16T05:30:00Z,2.0,7.38
2016-07-16T05:30:00Z,4.0,7.63
2016-07-16T05:30:00Z,6.0,7.13
2016-07-16T05:30:00Z,7.0,7.4
2016-07-16T06:00:00Z,0.5,7.94
2016-07-16T06:00:00Z,2.0,7.38
2016-07-16T06:00:00Z,4.0,7.5
2016-07-16T06:00:00Z,6.0,6.88
2016-07-16T06:00:00Z,7.0,7.18
2016-07-16T06:30:00Z,0.5,7.96
2016-07-16T06:30:00Z,2.0,7.38
2016-07-16T06:30:00Z,4.0,7.5
