datetime,Depth_meter,Dissolved_oxygen_gram_per_cubicMeter
2016-07-22T23:30:00Z,4.5,7.421
2016-07-23T00:00:00Z,0.5,7.105
2016-07-23T00:00:00Z,4.5,7.359
2016-07-23T00:30:00Z,0.5,7.076
2016-07-23T00:30:00Z,4.5,7.345
2016-07-23T01:00:00Z,0.5,7.057
2016-07-23T01:00:00Z,4.5,7.348
2016-07-23T01:30:00Z,0.5,7.025
2016-07-23T01:30:00Z,4.5,7.323
2016-07-23T02:00:00Z,0.5,7.001
2016-07-23T02:00:00Z,4.5,7.28
2016-07-23T02:30:00Z,0.5,6.961
2016-07-23T02:30:00Z,4.5,7.251
2016-07-23T03:00:00Z,0.5,6.942
2016-07-23T03:00:00Z,4.5,7.256
2016-07-23T03:30:00Z,0.5,6.937
2016-07-23T03:30:00Z,4.5,7.206
2016-07-23T04:00:00Z,0.5,6.924
2016-07-23T04:00:00Z,4.5,7.209
2016-07-23T04:30:00Z,0.5,6.897
2016-07-23T04:30:00Z,4.5,7.206
2016-07-23T05:00:00Z,0.5,6.885
2016-07-23T05:00:00Z,4.5,7.199
2016-07-23T05:30:00Z,0.5,6.874
2016-07-23T05:30:00Z,4.5,7.169
2016-07-23T06:00:00Z,0.5,6.86
2016-07-23T06:00:00Z,4.5,7.188
2016-07-23T06:30:00Z,0.5,6.87
2016-07-23T06:30:00Z,4.5,7.168
2016-07-23T07:00:00Z,0.5,6.87
2016-07-23T07:00:00Z,4.5,7.165
2016-07-23T07:30:00Z,0.5,6.911
2016-07-23T07:30:00Z,4.5,7.207
2016-07-23T08:00:00Z,0.5,6.949
2016-07-23T08:00:00Z,4.5,7.252
2016-07-23T08:30:00Z,0.5,6.969
2016-07-23T08:30:00Z,4.5,7.266
2016-07-23T09:00:00Z,0.5,7.013
2016-07-23T09:00:00Z,4.5,7.267
2016-07-23T09:30:00Z,0.5,7.03
2016-07-23T09:30:00Z,4.5,7.3
2016-07-23T10:00:00Z,0.5,7.065
2016-07-23T10:00:00Z,4.5,7.326
2016-07-23T10:30:00Z,0.5,7.106
2016-07-23T10:30:00Z,4.5,7.355
2016-07-23T11:00:00Z,0.5,7.136
2016-07-23T11:00:00Z,4.5,7.385
2016-07-23T11:30:00Z,0.5,7.075
2016-07-23T11:30:00Z,4.5,7.391
2016-07-23T12:00:00Z,0.5,7.176
2016-07-23T12:00:00Z,4.5,7.434
2016-07-23T12:30:00Z,0.5,7.185
2016-07-23T12:30:00Z,4.5,7.487
2016-07-23T13:00:00Z,0.5,7.113
2016-07-23T13:00:00Z,4.5,7.505
2016-07-23T13:30:00Z,0.5,7.2
2016-07-23T13:30:00Z,4.5,7.536
2016-07-23T14:00:00Z,0.5,7.255
2016-07-23T14:00:00Z,4.5,7.551
2016-07-23T14:30:00Z,0.5,7.208
2016-07-23T14:30:00Z,4.5,7.579
2016-07-23T15:00:00Z,0.5,7.192
2016-07-23T15:00:00Z,4.5,7.594
2016-07-23T15:30:00Z,0.5,7.225
2016-07-23T15:30:00Z,4.5,7.615
2016-07-23T16:00:00Z,0.5,7.245
2016-07-23T16:00:00Z,4.5,7.603
2016-07-23T16:30:00Z,0.5,7.291
2016-07-23T16:30:00Z,4.5,7.649
2016-07-23T17:00:00Z,0.5,7.312
2016-07-23T17:00:00Z,4.5,7.615
2016-07-23T17:30:00Z,0.5,7.287
2016-07-23T17:30:00Z,4.5,7.662
2016-07-23T18:00:00Z,0.5,7.275
2016-07-23T18:00:00Z,4.5,7.658
2016-07-23T18:30:00Z,0.5,7.276
2016-07-23T18:30:00Z,4.5,7.642
2016-07-23T19:00:00Z,0.5,7.294
2016-07-23T19:00:00Z,4.5,7.667
2016-07-23T19:30:00Z,0.5,7.281
2016-07-23T19:30:00Z,4.5,7.644
2016-07-23T20:00:00Z,0.5,7.251
2016-07-23T20:00:00Z,4.5,7.678
2016-07-23T20:30:00Z,0.5,7.276
2016-07-23T20:30:00Z,4.5,7.614
2016-07-23T21:00:00Z,0.5,7.278
2016-07-23T21:00:00Z,4.5,7.651
2016-07-23T21:30:00Z,0.5,7.248
2016-07-23T21:30:00Z,4.5,7.628
2016-07-23T22:00:00Z,0.5,7.223
2016-07-23T22:00:00Z,4.5,7.404
2016-07-23T22:30:00Z,0.5,7.211
2016-07-23T22:30:00Z,4.5,7.378
2016-07-23T23:00:00Z,0.5,7.189
2016-07-23T23:00:00Z,4.5,7.35
2016-07-23T23:30:00Z,0.5,7.167
2016-07-23T23:30:00Z,4.5,7.377
2016-07-24T00:00:00Z,0.5,7.139
2016-07-24T00:00:00Z,4.5,7.38
2016-07-24T00:30:00Z,0.5,7.104
2016-07-24T00:30:00Z,4.5,7.368
2016-07-24T01:00:00Z,0.5,7.093
2016-07-24T01:00:00Z,4.5,7.357
2016-07-24T01:30:00Z,0.5,7.093
2016-07-24T01:30:00Z,4.5,7.335
2016-07-24T02:00:00Z,0.5,7.052
2016-07-24T02:00:00Z,4.5,7.334
2016-07-24T02:30:00Z,0.5,7.013
2016-07-24T02:30:00Z,4.5,7.356
2016-07-24T03:00:00Z,0.5,7.03
2016-07-24T03:00:00Z,4.5,7.365
2016-07-24T03:30:00Z,0.5,7.041
2016-07-24T03:30:00Z,4.5,7.364
2016-07-24T04:00:00Z,0.5,7.032
2016-07-24T04:00:00Z,4.5,7.339
2016-07-24T04:30:00Z,0.5,6.987
2016-07-24T04:30:00Z,4.5,7.31
2016-07-24T05:00:00Z,0.5,6.972
2016-07-24T05:00:00Z,4.5,7.319
2016-07-24T05:30:00Z,0.5,6.945
2016-07-24T05:30:00Z,4.5,7.277
2016-07-24T06:00:00Z,0.5,6.921
2016-07-24T06:00:00Z,4.5,7.307
2016-07-24T06:30:00Z,0.5,6.959
2016-07-24T06:30:00Z,4.5,7.298
2016-07-24T07:00:00Z,0.5,6.913
2016-07-24T07:00:00Z,4.5,7.285
2016-07-24T07:30:00Z,0.5,6.922
2016-07-24T07:30:00Z,4.5,7.294
2016-07-24T08:00:00Z,0.5,6.945
2016-07-24T08:00:00Z,4.5,7.312
2016-07-24T08:30:00Z,0.5,6.926
2016-07-24T08:30:00Z,4.5,7.32
2016-07-24T09:00:00Z,0.5,6.986
2016-07-24T09:00:00Z,4.5,7.343
2016-07-24T09:30:00Z,0.5,7.01
2016-07-24T09:30:00Z,4.5,7.386
2016-07-24T10:00:00Z,0.5,7.092
2016-07-24T10:00:00Z,4.5,7.432
2016-07-24T10:30:00Z,0.5,7.162
2016-07-24T10:30:00Z,4.5,7.418
2016-07-24T11:00:00Z,0.5,7.164
2016-07-24T11:00:00Z,4.5,7.407
2016-07-24T11:30:00Z,0.5,7.16
2016-07-24T11:30:00Z,4.5,7.457
2016-07-24T12:00:00Z,0.5,7.191
2016-07-24T12:00:00Z,4.5,7.402
2016-07-24T12:30:00Z,0.5,7.178
2016-07-24T12:30:00Z,4.5,7.4
2016-07-24T13:00:00Z,0.5,7.167
2016-07-24T13:00:00Z,4.5,7.469
2016-07-24T13:30:00Z,0.5,7.159
2016-07-24T13:30:00Z,4.5,7.434
2016-07-24T14:00:00Z,0.5,7.169
2016-07-24T14:00:00Z,4.5,7.479
2016-07-24T14:30:00Z,0.5,7.238
2016-07-24T14:30:00Z,4.5,7.52
2016-07-24T15:00:00Z,0.5,7.224
2016-07-24T15:00:00Z,4.5,7.502
2016-07-24T15:30:00Z,0.5,7.305
2016-07-24T15:30:00Z,4.5,7.547
2016-07-24T16:00:00Z,0.5,7.3
2016-07-24T16:00:00Z,4.5,7.6
2016-07-24T16:30:00Z,0.5,7.354
2016-07-24T16:30:00Z,4.5,7.581
2016-07-24T17:00:00Z,0.5,7.297
2016-07-24T17:00:00Z,4.5,7.68
2016-07-24T17:30:00Z,0.5,7.321
2016-07-24T17:30:00Z,4.5,7.674
2016-07-24T18:00:00Z,0.5,7.305
2016-07-24T18:00:00Z,4.5,7.702
2016-07-24T18:30:00Z,0.5,7.354
2016-07-24T18:30:00Z,4.5,7.648
2016-07-24T19:00:00Z,0.5,7.316
2016-07-24T19:00:00Z,4.5,7.68
2016-07-24T19:30:00Z,0.5,7.341
2016-07-24T19:30:00Z,4.5,7.666
2016-07-24T20:00:00Z,0.5,7.36
2016-07-24T20:00:00Z,4.5,7.641
2016-07-24T20:30:00Z,0.5,7.318
2016-07-24T20:30:00Z,4.5,7.591
2016-07-24T21:00:00Z,0.5,7.312
2016-07-24T21:00:00Z,4.5,7.56
2016-07-24T21:30:00Z,0.5,7.317
2016-07-24T21:30:00Z,4.5,7.656
2016-07-24T22:00:00Z,0.5,7.306
2016-07-24T22:00:00Z,4.5,7.647
2016-07-24T22:30:00Z,0.5,7.277
2016-07-24T22:30:00Z,4.5,7.586
2016-07-24T23:00:00Z,0.5,7.248
2016-07-24T23:00:00Z,4.5,7.561
2016-07-24T23:30:00Z,0.5,7.271
2016-07-24T23:30:00Z,4.5,7.547
2016-07-25T00:00:00Z,0.5,7.262
2016-07-25T00:00:00Z,4.5,7.499
2016-07-25T00:30:00Z,0.5,7.254
2016-07-25T00:30:00Z,4.5,7.483
2016-07-25T01:00:00Z,0.5,7.225
2016-07-25T01:00:00Z,4.5,7.478
2016-07-25T01:30:00Z,0.5,7.209
2016-07-25T01:30:00Z,4.5,7.448
2016-07-25T02:00:00Z,0.5,7.263
2016-07-25T02:00:00Z,4.5,7.391
2016-07-25T02:30:00Z,0.5,7.263
2016-07-25T02:30:00Z,4.5,7.372
2016-07-25T03:00:00Z,0.5,7.236
2016-07-25T03:00:00Z,4.5,7.362
2016-07-25T03:30:00Z,0.5,7.193
2016-07-25T03:30:00Z,4.5,7.352
2016-07-25T04:00:00Z,0.5,7.194
2016-07-25T04:00:00Z,4.5,7.314
2016-07-25T04:30:00Z,0.5,7.166
2016-07-25T04:30:00Z,4.5,7.34
2016-07-25T05:00:00Z,0.5,7.124
2016-07-25T05:00:00Z,4.5,7.305
2016-07-25T05:30:00Z,0.5,7.09
2016-07-25T05:30:00Z,4.5,7.287
2016-07-25T06:00:00Z,0.5,7.119
2016-07-25T06:00:00Z,4.5,7.163
2016-07-25T06:30:00Z,0.5,7.113
2016-07-25T06:30:00Z,4.5,7.16
2016-07-25T07:00:00Z,0.5,7.132
2016-07-25T07:00:00Z,4.5,7.199
2016-07-25T07:30:00Z,0.5,7.135
2016-07-25T07:30:00Z,4.5,7.305
2016-07-25T08:00:00Z,0.5,7.163
2016-07-25T08:00:00Z,4.5,7.4
2016-07-25T08:30:00Z,0.5,7.17
2016-07-25T08:30:00Z,4.5,7.597
2016-07-25T09:00:00Z,0.5,7.215
2016-07-25T09:00:00Z,4.5,7.455
2016-07-25T09:30:00Z,0.5,7.21
2016-07-25T09:30:00Z,4.5,7.637
2016-07-25T10:00:00Z,0.5,7.271
2016-07-25T10:00:00Z,4.5,7.572
2016-07-25T10:30:00Z,0.5,7.215
2016-07-25T10:30:00Z,4.5,7.557
2016-07-25T11:00:00Z,0.5,7.209
2016-07-25T11:00:00Z,4.5,7.634
2016-07-25T11:30:00Z,0.5,7.213
2016-07-25T11:30:00Z,4.5,7.625
2016-07-25T12:00:00Z,0.5,7.246
2016-07-25T12:00:00Z,4.5,7.596
2016-07-25T12:30:00Z,0.5,7.247
2016-07-25T12:30:00Z,4.5,7.446
2016-07-25T13:00:00Z,0.5,7.251
2016-07-25T13:00:00Z,4.5,7.565
2016-07-25T13:30:00Z,0.5,7.291
2016-07-25T13:30:00Z,4.5,7.696
2016-07-25T14:00:00Z,0.5,7.257
2016-07-25T14:00:00Z,4.5,7.665
2016-07-25T14:30:00Z,0.5,7.328
2016-07-25T14:30:00Z,4.5,7.699
2016-07-25T15:00:00Z,0.5,7.502
2016-07-25T15:00:00Z,4.5,7.741
2016-07-25T15:30:00Z,0.5,7.475
2016-07-25T15:30:00Z,4.5,7.694
2016-07-25T16:00:00Z,0.5,7.543
2016-07-25T16:00:00Z,4.5,7.709
2016-07-25T16:30:00Z,0.5,7.561
2016-07-25T16:30:00Z,4.5,7.73
2016-07-25T17:00:00Z,0.5,7.529
2016-07-25T17:00:00Z,4.5,7.683
2016-07-25T17:30:00Z,0.5,7.459
2016-07-25T17:30:00Z,4.5,7.655
2016-07-25T18:00:00Z,0.5,7.433
2016-07-25T18:00:00Z,4.5,7.665
2016-07-25T18:30:00Z,0.5,7.482
2016-07-25T18:30:00Z,4.5,7.662
2016-07-25T19:00:00Z,0.5,7.413
2016-07-25T19:00:00Z,4.5,7.705
2016-07-25T19:30:00Z,0.5,7.531
2016-07-25T19:30:00Z,4.5,7.79
2016-07-25T20:00:00Z,0.5,7.486
2016-07-25T20:00:00Z,4.5,7.709
