"time","AirTemp_degC","Longwave_Wm-2","Latent_Wm-2","Sensible_Wm-2","Shortwave_Wm-2","lightExtinct_m-1","ShearVelocity_mS-1","ShearStress_Nm-2","Area_m2"
2009-06-06 17:00:00,16.290002445,744.173564453832,-183.769619160924,30.9582501754421,265.7440033,0.225694444444444,5.19928822239276,0.0280711614667139,3.6e+07
2009-06-06 18:00:00,16.250009155,742.082545764957,-191.344741170829,31.1738104414916,191.9799957,0.225231481481482,5.37371384932894,0.0295930643309717,3.6e+07
2009-06-06 19:00:00,16.21000061,724.559519247833,-199.069412796175,31.6728180519924,134.6030006,0.224768518518519,5.55676120945608,0.0312222719726287,3.6e+07
2009-06-06 20:00:00,15.654992675,709.191543295285,-198.91865963957,26.5300154527394,75.296001415,0.224305555555556,5.15085683188881,0.0276537922534981,3.6e+07
2009-06-06 21:00:00,14.58500061,704.33066680001,-189.39326196076,16.8184310744433,17.791999815,0.223842592592593,4.18213445540834,0.0198144073871603,3.6e+07
2009-06-06 22:00:00,13.515008545,699.535609221381,-178.164324107085,8.61978502672801,0,0.22337962962963,3.26144185624234,0.0133105615923935,3.6e+07
2009-06-06 23:00:00,12.52500305,695.69702066357,-172.405169045914,2.46490903768815,0,0.222916666666667,2.69393479277192,0.00980295638861473,3.6e+07
2009-06-07 00:00:00,11.61499939,692.903695961003,-173.52516115367,-2.65802579479204,0,0.222453703703704,2.45152998614831,0.0084301372284478,3.6e+07
2009-06-07 01:00:00,10.70499573,690.204072037476,-174.696226710758,-7.57966810465209,0,0.221990740740741,2.2212897152477,0.00719947414928096,3.6e+07
2009-06-07 02:00:00,9.979989626,688.566345565165,-176.948744006809,-11.3902759134351,0,0.221527777777778,2.06612779644624,0.00641182490447688,3.6e+07
2009-06-07 03:00:00,9.439996338,687.922624038531,-180.7700322032,-14.1812873948192,0,0.221064814814815,1.99573282368116,0.00606584932135521,3.6e+07
2009-06-07 04:00:00,8.9000183105,687.358743669585,-185.732333084831,-17.0812989258398,0,0.220601851851852,1.9580423861355,0.00588356813928428,3.6e+07
2009-06-07 05:00:00,8.9450164795,690.92298687815,-183.719202282101,-16.2580387735075,0,0.220138888888889,1.89341904027287,0.00557594094499824,3.6e+07
2009-06-07 06:00:00,9.5799957275,695.445181143518,-174.65531301491,-11.8971506785586,31.86400032,0.219675925925926,1.79744055491829,0.00513061106726881,3.6e+07
2009-06-07 07:00:00,10.2149902365,695.004575480925,-166.432446688366,-7.90475683099504,113.43999672,0.219212962962963,1.7200630466697,0.00478180229304174,3.6e+07
2009-06-07 08:00:00,11.589990235,700.418395958463,-157.675529873508,-0.483797697317827,214.873497,0.21875,1.88230281428055,0.0055236172029585,3.6e+07
2009-06-07 09:00:00,13.71000061,712.759666461983,-147.936989809967,11.0496882724964,322.67199705,0.218287037037037,2.30309548512745,0.00762815864692923,3.6e+07
