"time","n2S-2_1","n2S-2_2","n2S-2_3","n2S-2_4","n2S-2_5","n2S-2_6","n2S-2_7","n2S-2_8","n2S-2_9","n2S-2_10","n2S-2_11","n2S-2_12","n2S-2_13","n2S-2_14","n2S-2_15","n2S-2_16","n2S-2_17","n2S-2_18","n2S-2_19","n2S-2_20","n2S-2_21","n2S-2_22","n2S-2_23","n2S-2_24","n2S-2_25"
2011-07-19 05:00:00,-4.97158453645069e-06,0,5.68186809701827e-05,0.0018186712838883,0.00321462962946678,0.0022566605007542,0.00220553272113032,0.00252035425360038,0.00268963872488347,0.00263399035346261,0.00246521446463222,0.00226360128463917,0.00205567655999817,0.00184670909421892,0.00163961957571988,0.00143762475549734,0.00124369530490288,0.00105948918149629,0.000884952015251478,0.000718769544801432,0.000558688486561868,0.000401899364998304,0.000245369898972919,8.60768945405816e-05,NA
2011-07-19 06:00:00,-4.9163085385283e-06,0,-7.36789953988503e-06,0.00179877420572994,0.00315256791776045,0.00228152983721276,0.00221652383812292,0.00251709673492257,0.00268414769709343,0.00263108558368681,0.00246428066705359,0.0022633370361557,0.00205553329263804,0.00184661080138173,0.00163960164338323,0.00143770376496896,0.0012438575899204,0.0010597059429501,0.000885191519772526,0.000719003277119882,0.000558893403150003,0.000402058222809222,0.000245470761774846,8.61122479246722e-05,NA
2011-07-19 07:00:00,-7.11700112040945e-06,0,-7.53968379415474e-06,0.0017480906811557,0.00309437443054346,0.00230376093341629,0.00222761322851145,0.00251423698151532,0.00267882653388776,0.00262819341907905,0.00246332661495219,0.00226306424072789,0.0020553913016729,0.0018465159090534,0.00163958610434826,0.00143778390040941,0.00124402019641767,0.00105992262821062,0.000885430791813336,0.000719236745901543,0.000559098085298775,0.000402216901871184,0.000245571512471563,8.61475625957089e-05,NA
2011-07-19 08:00:00,0,-5.66226220809618e-06,3.88798837903733e-07,0.00173330238299704,0.00304151067095225,0.00232493778735467,0.00223942732606922,0.00251213260490758,0.00267387502796809,0.00262542151471517,0.00246240851439004,0.0022628118416037,0.00205526572488107,0.00184643257336305,0.00163957749695456,0.00143786778292343,0.0012441847122126,0.00106014025477339,0.00088567051959399,0.000719470434494493,0.000559302874977322,0.000402375634466207,0.000245672288516692,8.61828875053066e-05,NA
2011-07-19 09:00:00,0,6.27266015774051e-07,8.16833225991601e-05,0.00172699061277058,0.00299629302753495,0.00234624175406385,0.00225240710587977,0.00251103433285555,0.00266943598773453,0.00262284761428542,0.00246156703093297,0.00226260076167436,0.00205516757630587,0.00184636684611848,0.0016395792995641,0.00143795750934205,0.00124435247243734,0.00106035972319163,0.000885911340932864,0.000719704807398898,0.000559508109357795,0.000402534653394645,0.000245773228925125,8.62182721588673e-05,NA
2011-07-19 10:00:00,8.43355174160337e-05,8.51404270637877e-05,0.000169552048666082,0.00173125912733934,0.00295860948930581,0.00236794388494557,0.00226652701321869,0.00251093665149362,0.00266551549686084,0.00262047727811533,0.00246080487099694,0.00226243191344703,0.0020550972167231,0.00184631900843561,0.00163959177702033,0.00143805331180239,0.00124452367008791,0.00106058119109235,0.000886153383475785,0.000719939966253265,0.000559713866450216,0.000402694014276729,0.000245874367512332,8.62537288018358e-05,NA
2011-07-19 11:00:00,0.000264063863245709,0.000202908527539088,0.000273045533347545,0.00174611921898626,0.00292834171571698,0.00239026532958221,0.00228175501078116,0.00251182502256655,0.00266211422121645,0.00261831291017937,0.00246012277468438,0.00226230487265386,0.00205505401046517,0.00184628855414317,0.00163961455181122,0.0014381548886076,0.00124469805100652,0.001060804442221,0.000886396465887401,0.000720175763240156,0.000559920031030125,0.00040285363398246,0.000245975653550397,8.62892399118007e-05,NA
2011-07-19 12:00:00,0.0005242714597309,0.000351615582259027,0.000390852247376642,0.00177120779142235,0.00290512042522661,0.00241326647385186,0.0022979914253411,0.00251364470771587,0.00265921137952322,0.00261634589281493,0.00245951591346174,0.00226221645392448,0.00205503598671275,0.00184627436688539,0.00163964700233219,0.00143826187337001,0.00124487537893528,0.00106102931158223,0.00088664046684524,0.000720412107283017,0.000560126535511007,0.000403013465105078,0.000246077058641124,8.63247956452943e-05,NA
2011-07-19 13:00:00,0.00083087304532266,0.000525448642870948,0.00052017822624844,0.00180510488996191,0.00288804205096084,0.00243670110508245,0.00231498926101004,0.0025162587995476,0.00265674214432865,0.00261454443777178,0.00245896729760047,0.00226215704861576,0.00205503772480101,0.00184627343025714,0.00163968742248764,0.0014383732493779,0.00124505500338445,0.00106125535349335,0.000886885065085279,0.000720648760947619,0.000560333205657578,0.000403173386398379,0.000246178510251715,8.63603704605187e-05,NA
2011-07-19 14:00:00,0.00115538705446491,0.00071357345398033,0.000655404647752921,0.00184476350138513,0.00287535904917179,0.00245985813661049,0.00233226886947095,0.00251940372122907,0.0026545742201975,0.00261284141680496,0.00245844152858772,0.00226210745660277,0.00205504877525505,0.00184628006206929,0.00163973266761685,0.0014384872006973,0.00124523581021461,0.00106148183815235,0.000887129755023577,0.000720885361703331,0.000560539780898725,0.000403333218946545,0.000246279902070679,8.63959266417507e-05,NA
