"time","tempDegC_heat00_1","tempDegC_heat00_2","tempDegC_heat00_3","tempDegC_heat00_4","tempDegC_heat00_5","tempDegC_heat00_6","tempDegC_heat00_7","tempDegC_heat00_8","tempDegC_heat00_9","tempDegC_heat00_10","tempDegC_heat00_11","tempDegC_heat00_12","tempDegC_heat00_13","tempDegC_heat00_14","tempDegC_heat00_15","tempDegC_heat00_16","tempDegC_heat00_17","tempDegC_heat00_18","tempDegC_heat00_19","tempDegC_heat00_20","tempDegC_heat00_21","tempDegC_heat00_22","tempDegC_heat00_23","tempDegC_heat00_24","tempDegC_heat00_25"
2009-07-01 06:00:00,22.7023880414431,22.9783821282183,22.9821485895391,22.9840806387303,22.9839554895212,22.8605843288449,19.9420040961182,17.3400240522444,15.4812968506112,14.1056119693667,12.9969706916448,12.0415240881295,11.1848804187711,10.3995208202287,9.66928224128472,8.98282431832105,8.33137964879949,7.7077471642304,7.10581977063524,6.52042399761718,5.94711837678298,5.38207958385973,4.82203497716253,4.2644389119634,3.70843390166743
2009-07-01 07:00:00,22.6522918329578,22.9122910629917,22.9127835945932,22.9160633748418,22.9155546467408,22.8079869305548,19.9485276868217,17.3595409843189,15.4966223139059,14.1153894776785,13.0032246936251,12.0459303750915,11.1883236517486,10.4023906322604,9.67174137562059,8.98494606670472,8.33320393670641,7.70930060887996,7.10712228496294,6.52149092878852,5.94796127703065,5.38270663257797,4.82245135270822,4.26464660313247,3.70843391222325
2009-07-01 08:00:00,22.6153687337906,22.8527084474063,22.8528027115273,22.8509757920026,22.8535263730304,22.7560842945025,19.9542840078177,17.3786847444883,15.5119287716581,14.1252556084058,13.009557952943,12.0503833553829,11.1917899121068,10.4052710692672,9.67420554070313,8.98707047898859,8.33502987998462,7.71085523759423,7.10842571764738,6.52255858998447,5.94880474821436,5.38333410496392,4.82286801061474,4.2648544376033,3.70843393186093
2009-07-01 09:00:00,22.5853991497609,22.8013413480957,22.7993962037197,22.7966167215673,22.7983008028716,22.7049748908082,19.9593142452763,17.397459593897,15.5272103827747,14.1352062801035,13.0159694034924,12.0548833286401,11.1952796914546,10.4081624584363,9.67667490134738,8.98919762633919,8.3368575059092,7.71241105936238,7.10973007075449,6.52362698099178,5.949648789626,5.38396200046153,4.82328495066526,4.2650624156383,3.70843396025247
2009-07-01 10:00:00,22.5611915967721,22.757870942678,22.7512667606119,22.7503617459262,22.7509353390965,22.6547310452986,19.9636382882444,17.4158581574316,15.5424549645707,14.1452337497364,13.0224558445271,12.0594293900926,11.1987928235675,10.4110647714781,9.67914942909633,8.99132747370276,8.33868678290548,7.71396805044067,7.11103532812358,6.52469609145008,5.95049339491236,5.38459031537385,4.82370217090146,4.26527053640365,3.70843399609861
2009-07-01 11:00:00,22.5509504718304,22.7203645863664,22.7122830308696,22.7103931366912,22.7103629340235,22.6054422122319,19.9672758360508,17.4338730139825,15.5576504296785,14.1553302049136,13.0290139422057,12.0640205426302,11.2023291020549,10.4139779682503,9.68162909365604,8.99345998649423,8.34051767998598,7.71552618744358,7.11234147377775,6.52576591108618,5.95133855775695,5.38521904601011,4.82411966934898,4.26547879891998,3.70843403814762
2009-07-01 12:00:00,22.5547256274937,22.6896799490022,22.6840297609638,22.6788550224532,22.6799101892388,22.557162333489,19.9702390061823,17.4514926410003,15.5727825310982,14.165486527141,13.0356395482627,12.0686553180297,11.2058880693583,10.4169018796971,9.6841137982237,8.9955950949264,8.34235014706776,7.71708543647128,7.11364848591207,6.52683642638792,5.95218427003886,5.38584818766589,4.82453744344162,4.26568720178679,3.70843408488208
2009-07-01 13:00:00,22.5602433574808,22.6703403786197,22.6633529065716,22.6577186916891,22.6580071221247,22.5099660256551,19.9725163270838,17.4686923394303,15.5878298484444,14.1756895407613,13.0423261883832,12.0733309429673,11.2094685560177,10.4198359537047,9.68660323955512,8.99773261702266,8.34418407260902,7.7186457297848,7.11495632404307,6.52790761352006,5.95303051792436,5.3864777324629,4.82495548882326,4.26589574253696,3.70843413387656
2009-07-01 14:00:00,22.5601032853507,22.656350606284,22.6490335828447,22.6433477857886,22.6433813420299,22.4638396547903,19.9740640413064,17.4854293109888,15.6027610913019,14.1859205551662,13.0490642732593,12.0780429091552,11.2130684458558,10.4227791271732,9.689096838518,8.99987222098271,8.34601926320894,7.7202069547323,7.11626492298564,6.52897943503957,5.95387728006781,5.38710766835466,4.82537379879501,4.2661044173157,3.70843418154844
2009-07-01 15:00:00,22.5518373217736,22.6444224587332,22.6346709071279,22.6323675219717,22.6326806718635,22.4187635055441,19.9748487862661,17.5016665734601,15.6175482914318,14.1961626567655,13.0558451286791,12.0827871980096,11.2166859034169,10.4257305035422,9.69159411430378,9.00201363192288,8.34785555781221,7.72176901681438,7.11757422766232,6.53005185909708,5.95472453819294,5.38773798494669,4.8257923675108,4.26631322261969,3.70843422499095
