"time","diffM2s-1_1","diffM2s-1_2","diffM2s-1_3","diffM2s-1_4","diffM2s-1_5","diffM2s-1_6","diffM2s-1_7","diffM2s-1_8","diffM2s-1_9","diffM2s-1_10","diffM2s-1_11","diffM2s-1_12","diffM2s-1_13","diffM2s-1_14","diffM2s-1_15","diffM2s-1_16","diffM2s-1_17","diffM2s-1_18","diffM2s-1_19","diffM2s-1_20","diffM2s-1_21","diffM2s-1_22","diffM2s-1_23","diffM2s-1_24","diffM2s-1_25"
2010-06-19 10:00:00,1.31594232262309e-05,4.33505790816855e-06,5.31670402738162e-06,6.46020766155411e-06,7.37078799480673e-06,8.1152994260601e-06,8.7763582190954e-06,9.41545668514815e-06,1.00910502526509e-05,1.08555148811704e-05,1.17495802489269e-05,1.28013157680315e-05,1.40274655645279e-05,1.54387997704477e-05,1.7043012509796e-05,1.88531198047074e-05,2.08953005751324e-05,2.3224055584969e-05,2.59523457263125e-05,2.9313271726372e-05,3.382789904944e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 11:00:00,3.71901732737086e-05,4.24289818829996e-06,5.30442449856232e-06,6.44022100174853e-06,7.35767867034688e-06,8.10747904015739e-06,8.77170922620632e-06,9.41308150205438e-06,1.00902797062149e-05,1.08555777865006e-05,1.17496224308e-05,1.28004806358696e-05,1.40249612557743e-05,1.54339433730142e-05,1.70352499789583e-05,1.88420220699802e-05,2.0880532428796e-05,2.3205311910579e-05,2.59292367152503e-05,2.92851040336333e-05,3.37931574017127e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 12:00:00,3.71901732737086e-05,4.20663140798945e-06,5.28779521311777e-06,6.41949581736563e-06,7.34378641073576e-06,8.0991985463754e-06,8.7668330490033e-06,9.41058471234317e-06,1.00894321637871e-05,1.08555856471737e-05,1.17496249989596e-05,1.27996211877639e-05,1.4022449872921e-05,1.54290990540141e-05,1.70275195729564e-05,1.88309761207921e-05,2.08658343415163e-05,2.31866548569418e-05,2.5906229853233e-05,2.92570551050037e-05,3.3758557122377e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 13:00:00,3.71901732737086e-05,4.15220292374317e-06,5.26913365688718e-06,6.39816964143807e-06,7.32925427816961e-06,8.090521888783e-06,8.76175784957116e-06,9.40797960848294e-06,1.00885140755491e-05,1.08555416399887e-05,1.17495895294184e-05,1.27987381594981e-05,1.40199316463085e-05,1.5424266692734e-05,1.70198209105761e-05,1.88199813914753e-05,2.08512056386094e-05,2.31680837127703e-05,2.58833244508299e-05,2.92291243069579e-05,3.37240976275014e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 14:00:00,3.71901732737086e-05,4.09874229507297e-06,5.2494306018833e-06,6.37722779022886e-06,7.31470287452389e-06,8.0817672643775e-06,8.75663771541924e-06,9.40533994720529e-06,1.00875607140149e-05,1.08554627690985e-05,1.17495243207093e-05,1.27978356050616e-05,1.40174084669109e-05,1.54194470094899e-05,1.70121540413452e-05,1.88090375393551e-05,2.08366457628532e-05,2.31495978286026e-05,2.58605198511631e-05,2.92013110205536e-05,3.36897783385181e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 15:00:00,3.71901732737086e-05,4.05437380043308e-06,5.22955976477068e-06,6.3571634743197e-06,7.30047275173063e-06,8.07311118831662e-06,8.75155773124508e-06,9.40270660500247e-06,1.00865917913602e-05,1.0855358620946e-05,1.17494340822892e-05,1.27969158146019e-05,1.40148813493127e-05,1.54146402881301e-05,1.70045187993369e-05,1.87981441185999e-05,2.08221541090427e-05,2.31311965341166e-05,2.58378153871804e-05,2.91736146210802e-05,3.3655598669903e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 16:00:00,3.71901732737086e-05,4.0160731310999e-06,5.20946586010946e-06,6.33766646782267e-06,7.28642428992654e-06,8.06448023416171e-06,8.74647973857163e-06,9.40006131069264e-06,1.00855988727515e-05,1.08552253096293e-05,1.17493169881146e-05,1.27959778601973e-05,1.40123497050173e-05,1.54098460094617e-05,1.69969146177598e-05,1.87873004854388e-05,2.08077299764339e-05,2.31128791138488e-05,2.58152103699193e-05,2.91460344713679e-05,3.36215580251338e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 17:00:00,3.71901732737086e-05,3.98865524628302e-06,5.18978623761458e-06,6.31898584930225e-06,7.27273688185581e-06,8.05597008198222e-06,8.74144940272711e-06,9.39742599008211e-06,1.00845926527235e-05,1.08550681131215e-05,1.17491756604717e-05,1.27950230058696e-05,1.40098140406729e-05,1.54050642086641e-05,1.6989341214172e-05,1.87765061442528e-05,2.07933727433489e-05,2.30946448942566e-05,2.57927041333583e-05,2.91185699442974e-05,3.35876558105534e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 18:00:00,3.71901732737086e-05,3.97708231167759e-06,5.17137490575564e-06,6.30143235232596e-06,7.25961912728384e-06,8.04769375497257e-06,8.73652150593556e-06,9.39482701873188e-06,1.00835859717936e-05,1.08548933514998e-05,1.17490132333678e-05,1.2794052770456e-05,1.40072749929136e-05,1.5400294990067e-05,1.69817983456871e-05,1.87657606245013e-05,2.07790818046029e-05,2.30764932135734e-05,2.57702960175957e-05,2.9091220415227e-05,3.35538914301029e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
2010-06-19 19:00:00,1.90662279588762e-05,4.00812485213937e-06,5.15506970087623e-06,6.28522611115476e-06,7.24721599025697e-06,8.03973198238437e-06,8.73173531196622e-06,9.3922833808948e-06,1.00825881723686e-05,1.08547056825223e-05,1.17488320402242e-05,1.27930682818932e-05,1.40047330066025e-05,1.53955383655491e-05,1.69742857274453e-05,1.87550634391376e-05,2.07648565509136e-05,2.30584234105152e-05,2.57479853646447e-05,2.90639852590575e-05,3.35202642846766e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05,3.71901732737086e-05
