"datetime","diffM2s-2_0","diffM2s-2_1","diffM2s-2_2","diffM2s-2_3","diffM2s-2_4","diffM2s-2_5","diffM2s-2_6","diffM2s-2_7","diffM2s-2_8","diffM2s-2_9","diffM2s-2_10","diffM2s-2_11","diffM2s-2_12","diffM2s-2_13","diffM2s-2_14","diffM2s-2_15","diffM2s-2_16","diffM2s-2_17","diffM2s-2_18","diffM2s-2_19","diffM2s-2_20","diffM2s-2_21","diffM2s-2_22","diffM2s-2_23","diffM2s-2_24","diffM2s-2_25"
2009-08-04 15:00:00,1.09999997999211e-09,2.11583464988507e-05,5.83515179641836e-06,8.27997951091675e-06,1.18361285785795e-05,1.30370717670303e-05,1.11805852611724e-05,7.15922010385839e-06,4.91972014060593e-06,5.35499520992744e-06,6.16730676483712e-06,6.89437797518622e-06,7.65295817473088e-06,8.65580477693584e-06,9.8047266874346e-06,1.15018879114359e-05,1.36465396280983e-05,1.65511846716981e-05,2.06353915928048e-05,2.56668736255961e-05,3.22445948768291e-05,4.18834497395437e-05,5.89078390476061e-05,0.000107006486359751,0.000183099960850086,0.00027151161339134
2009-08-04 16:00:00,1.09999997999211e-09,5.36572201781382e-06,5.21785500495753e-06,8.19167462395853e-06,1.15016182462568e-05,1.27011135191424e-05,1.09625284494541e-05,7.11098277861311e-06,4.9366719849786e-06,5.35068261342531e-06,6.16036004430498e-06,6.88944464855012e-06,7.64828860155831e-06,8.65081483425456e-06,9.79925744104548e-06,1.14954423224845e-05,1.3638717973663e-05,1.65412848218693e-05,2.06221520784311e-05,2.56490711763036e-05,3.22200194204925e-05,4.18465133407153e-05,5.88439797866158e-05,0.000106881027022609,0.000182910276635084,0.000271313911071047
2009-08-04 17:00:00,1.09999997999211e-09,4.23595497522911e-06,5.41984809387941e-06,8.09905509413511e-06,1.12384291242051e-05,1.24301545838534e-05,1.07774922071258e-05,7.06911373526964e-06,4.95383619636414e-06,5.34755713488266e-06,6.15435601503123e-06,6.88537761561747e-06,7.64445917411649e-06,8.64667026689858e-06,9.79464311967604e-06,1.14899630716536e-05,1.3632034551847e-05,1.65328301591217e-05,2.06109361897688e-05,2.56340890700812e-05,3.21995203194092e-05,4.18162671849132e-05,5.87949816690525e-05,0.000106813342426904,0.000182899231731426,0.000271184428129345
2009-08-04 18:00:00,1.09999997999211e-09,4.1555258576409e-06,5.39244615538337e-06,8.05968306849536e-06,1.10890523501439e-05,1.22637020467664e-05,1.06455077002465e-05,7.03860064277251e-06,4.97262544740806e-06,5.34671949026233e-06,6.15045155427651e-06,6.88328896103485e-06,7.64252513363317e-06,8.64442608872196e-06,9.79195510808495e-06,1.14866516014445e-05,1.36279059006483e-05,1.65276160259964e-05,2.06042159334174e-05,2.56253788393224e-05,3.21880743285874e-05,4.18006638938095e-05,5.87761478527682e-05,0.000106840798252961,0.000183142168680206,0.000271197583060712
2009-08-04 19:00:00,1.09999997999211e-09,1.35317948206648e-05,5.42766201760969e-06,8.06055527391436e-06,1.10027267510304e-05,1.21564326036605e-05,1.054554422808e-05,7.01558565197047e-06,4.99234397466353e-06,5.34746618541249e-06,6.14793952991022e-06,6.88249951963371e-06,7.64184414947522e-06,8.64343928697053e-06,9.7905426628131e-06,1.14847748591274e-05,1.36254684548476e-05,1.65245455718832e-05,2.06004697247408e-05,2.56208213613718e-05,3.21826273648185e-05,4.17948122048983e-05,5.87774156883825e-05,0.000106924610008718,0.000183517171535641,0.00027129816589877
2009-08-04 20:00:00,1.09999997999211e-09,0.000170467294651644,5.53397262592625e-06,8.12207122180553e-06,1.1006843578798e-05,1.21321550068387e-05,1.04886407825688e-05,7.00289592714398e-06,5.01387103213347e-06,5.35043614036113e-06,6.14749046690122e-06,6.88365639689437e-06,7.6430294484453e-06,8.64432240632595e-06,9.79102969722589e-06,1.14850299723912e-05,1.36255457618972e-05,1.65246610777103e-05,2.06011281989049e-05,2.5622406610637e-05,3.21860479743918e-05,4.18032304878579e-05,5.88067850912921e-05,0.000107081697933609,0.000184054602868855,0.000271517783403397
2009-08-04 21:00:00,1.09999997999211e-09,0.000656047885058797,5.71291343476332e-06,8.16561123428983e-06,1.09954157778702e-05,1.20945824164664e-05,1.04278087746934e-05,6.99001498105645e-06,5.03463729728537e-06,5.35341769136721e-06,6.14684131505783e-06,6.88457407704846e-06,7.64401056585484e-06,8.64500407260493e-06,9.79131527856225e-06,1.14850558929902e-05,1.36253552227572e-05,1.6524436432519e-05,2.06013055503718e-05,2.56233333857381e-05,3.2188529985433e-05,4.18102372350404e-05,5.88326856814092e-05,0.000107207746623317,0.000184459160664119,0.000271705794148147
2009-08-04 22:00:00,1.09999997999211e-09,0.000582791704800911,5.70293809687428e-06,8.17933710095531e-06,1.09537936623383e-05,1.20301797323918e-05,1.03563720585953e-05,6.97523364578956e-06,5.05418552165793e-06,5.35600361217803e-06,6.14558621236938e-06,6.88485579303233e-06,7.64441028877627e-06,8.64510820974829e-06,9.79101969278418e-06,1.14844242489198e-05,1.36243943416048e-05,1.65232331710286e-05,2.06001086553442e-05,2.56223502219655e-05,3.21882644129801e-05,4.18128493038239e-05,5.884826714464e-05,0.000107275387563277,0.000184644770342857,0.000271839322522283
2009-08-04 23:00:00,1.09999997999211e-09,0.0010231597116217,2.41463565089362e-05,8.19618003333744e-06,1.09049638012948e-05,1.19593778435956e-05,1.02840458566789e-05,6.96064194016799e-06,5.07307095176657e-06,5.3586325066135e-06,6.14419218436524e-06,6.88494674250251e-06,7.64464925850916e-06,8.64505500430823e-06,9.79056994765415e-06,1.14836147986352e-05,1.36232279146498e-05,1.65217670655693e-05,2.05985279535525e-05,2.56208386417711e-05,3.218724305043e-05,4.18142280977918e-05,5.88597449677764e-05,0.000107310930616222,0.000184701399120968,0.000271950149908662
2009-08-05 00:00:00,1.09999997999211e-09,0.00100171976373531,0.00018962597096106,8.08196682555717e-06,1.08536059997277e-05,1.18893071885395e-05,1.021414391289e-05,6.9469383561227e-06,5.09151232108707e-06,5.36146035301499e-06,6.14283476352284e-06,6.88501290824206e-06,7.64488527238427e-06,8.64500225361553e-06,9.79012520474498e-06,1.14828071673401e-05,1.36220664899156e-05,1.65203045980888e-05,2.05969390663086e-05,2.56193188761245e-05,3.21862207783852e-05,4.18155577790458e-05,5.88697766943369e-05,0.000107334042695584,0.000184712196642067,0.000272041186690331
